DISTRICT,YEAR,AVG_TEMP,HUMIDITY,ELEVATION,FLOODS,MONTH,RAINFALL_MM
Gaya,2021,27.73,88.3,35.22,0,1,14.118
Vadodara,2022,35.66,90.51,9.23,1,1,30.264
Hubballi,1992,33.36,51.94,296.1,1,1,5.636
Udaipur,1998,34.41,58.16,316.26,0,1,5.168
Guwahati,1997,23.7,67.45,355.24,0,1,8.353
Chennai,2022,25.46,84.02,51.44,1,1,36.172
Varanasi,1995,31.86,84.6,48.94,0,1,29.983
Gorakhpur,1993,27.83,49.32,134.26,0,1,6.395
Bikaner,2002,30.77,32.2,0.0,0,1,2.693
Bikaner,1991,31.67,55.13,365.68,0,1,5.597
Bareilly,1994,25.17,77.45,1004.97,1,1,23.796
Anand,2016,23.06,61.59,423.24,1,1,12.272
Tiruchirappalli,2021,20.48,71.2,859.14,0,1,16.225
Nashik,2010,27.27,41.42,164.83,0,1,5.562
Coimbatore,1997,28.83,86.28,36.03,0,1,24.999
Bhagalpur,1997,29.2,51.51,270.59,1,1,11.265
Pune,1992,27.26,60.13,469.13,1,1,11.161
Bareilly,1992,32.93,52.12,320.0,1,1,7.35
Dindigul,2011,23.94,44.46,552.22,0,1,12.628
Rangareddy,1995,29.64,80.54,16.0,0,1,27.49
Pune,1991,31.11,67.41,273.48,1,1,10.021
Silchar,2012,26.87,74.69,48.42,0,1,19.454
Nalanda,1991,28.13,37.9,272.95,0,1,5.234
Chennai,2006,27.54,74.08,29.0,0,1,19.892
Karimnagar,2024,20.21,61.33,472.93,1,1,10.478
Kota,2023,34.54,40.14,263.61,0,1,6.832
Begusarai,2012,26.64,38.78,540.03,0,1,11.85
Coimbatore,2019,23.25,41.46,149.28,0,1,3.98
Jhansi,1997,18.72,83.32,334.69,1,1,18.755
Murshidabad,2011,31.93,85.8,78.95,0,1,25.219
Ahmedabad,1994,28.69,57.09,309.34,0,1,8.134
Katihar,2002,32.28,50.06,0.0,0,1,11.323
Howrah,2018,24.91,48.14,384.89,0,1,9.14
Surat,2020,15.66,69.82,1124.58,1,1,20.381
Nalanda,2005,13.64,82.78,782.52,0,1,17.205
Churu,2019,26.3,82.5,1622.49,1,1,19.807
Hubballi,2005,22.72,60.03,236.53,0,1,7.944
Dibrugarh,2001,27.65,56.18,370.26,1,1,5.392
Dibrugarh,2006,27.66,83.03,78.15,0,1,31.667
Durgapur,2005,28.75,77.59,71.51,0,1,27.17
Dibrugarh,2001,22.03,56.55,373.03,0,1,8.976
Patna,1997,31.11,47.32,409.91,0,1,12.03
Darbhanga,2009,28.92,79.38,32.17,1,1,22.847
Silchar,1992,31.68,76.95,14.11,1,1,22.964
Nashik,2005,22.06,34.97,370.03,0,1,6.828
Patna,2019,27.95,52.64,214.88,0,1,10.502
Kolhapur,2012,31.61,59.94,178.79,0,1,3.25
Chennai,2017,27.91,77.69,9.77,1,1,17.346
Jodhpur,1994,27.91,60.77,261.83,0,1,3.556
Medak,2009,20.05,60.58,140.77,0,1,10.196
Kalaburagi,1990,20.53,57.71,362.22,0,1,12.476
Nagpur,2019,31.2,65.22,251.47,0,1,8.447
Jhansi,2010,27.5,36.16,334.74,0,1,7.41
Nalanda,2009,25.2,80.82,553.48,0,1,11.104
Mangaluru,1995,27.22,84.78,16.01,1,1,24.18
Amravati,2011,31.06,81.03,34.51,1,1,18.085
Noida,2007,33.92,53.14,123.03,0,1,3.68
Bhagalpur,1997,25.55,80.27,64.83,0,1,22.235
Pune,2021,20.23,53.93,362.05,1,1,13.746
Agra,2022,27.48,59.77,267.56,0,1,11.469
Surat,2005,31.7,77.89,85.22,1,1,20.938
Nalanda,2001,32.76,36.01,202.77,0,1,5.85
Jaipur,2023,36.64,41.05,138.96,0,1,4.333
Siliguri,2003,19.49,76.7,1527.78,1,1,20.727
Solapur,2022,31.14,48.55,176.15,0,1,5.159
Durgapur,2012,19.83,86.28,932.77,0,1,16.132
Khammam,1991,29.05,56.91,287.2,0,1,12.049
Bharatpur,2010,25.86,76.47,56.73,0,1,24.888
Lucknow,1991,26.78,47.43,478.05,0,1,11.067
Mahbubnagar,2016,24.94,78.54,1356.91,0,1,23.0
Nadia,1998,23.08,74.58,393.15,1,1,10.416
Nagpur,1990,17.95,56.09,154.7,1,1,12.654
Pune,2000,28.1,54.37,296.48,0,1,15.945
Thane,1992,34.72,84.33,45.78,1,1,30.047
Muzaffarpur,2012,23.28,49.36,384.05,0,1,11.947
Nagpur,2015,31.11,76.2,270.95,0,1,8.795
Muzaffarpur,1993,28.04,79.62,93.13,0,1,24.312
Vadodara,2007,25.05,81.88,69.35,0,1,18.59
Jorhat,1995,28.75,60.38,388.58,1,1,11.772
Kalaburagi,2024,20.31,34.95,153.38,1,1,8.061
Noida,2011,24.56,74.47,712.96,1,1,15.756
Siliguri,2004,28.33,78.09,34.25,1,1,26.664
Nizamabad,2011,19.17,63.9,301.26,0,1,9.17
Ajmer,2001,33.56,85.71,85.73,0,1,25.357
Dibrugarh,2007,30.57,82.47,27.17,1,1,17.58
Anand,2024,27.26,53.34,56.85,1,1,10.507
Mangaluru,2019,30.66,88.24,93.01,0,1,18.573
Bhavnagar,2013,20.62,80.23,36.17,1,1,23.195
Jalpaiguri,2019,26.13,86.4,48.1,1,1,17.549
Hubballi,2003,36.04,68.82,451.14,0,1,8.759
Udaipur,1995,26.52,50.04,475.68,0,1,7.734
Bharatpur,1992,26.08,85.3,22.62,1,1,25.767
Gorakhpur,2005,28.51,84.34,58.05,1,1,20.271
Dibrugarh,1996,24.7,80.39,91.8,1,1,32.341
Suryapet,2003,32.73,77.77,51.27,1,1,18.195
Meerut,1998,18.66,81.52,1442.84,0,1,18.106
Churu,2004,19.69,69.93,324.83,1,1,9.751
Kanpur,2010,26.68,55.91,465.23,0,1,9.953
Bhagalpur,2024,29.99,66.06,499.71,0,1,9.846
Tiruchirappalli,1991,22.09,72.31,1693.87,1,1,17.84
Erode,2016,24.41,39.51,247.41,0,1,7.053
Jhansi,1991,17.15,78.46,843.27,0,1,16.771
Nalanda,2024,13.62,81.31,1110.02,1,1,13.018
Kolkata,2007,30.14,82.59,59.98,1,1,27.778
Vellore,2003,27.88,58.62,301.69,0,1,8.174
Hubballi,2009,21.7,65.83,1294.45,0,1,21.346
Malda,2007,24.26,56.9,385.01,1,1,8.291
Tinsukia,1999,22.29,81.86,58.5,0,1,22.15
Jhansi,2014,25.6,90.77,116.03,0,1,24.96
Jaipur,1991,34.44,35.28,118.69,1,1,2.273
Amravati,2014,27.49,58.84,355.07,0,1,8.004
Bareilly,2022,23.08,43.38,200.97,0,1,4.904
Mumbai,2020,27.18,68.8,0.0,0,1,26.766
Solapur,2003,28.26,54.1,205.64,1,1,8.049
Bareilly,1990,19.7,65.45,434.48,1,1,14.039
Jorhat,2005,20.33,55.98,425.36,1,1,11.528
Delhi,1992,24.06,75.03,111.42,1,1,11.121
Lucknow,2024,23.08,66.56,93.72,1,1,11.281
Solapur,1995,28.1,80.87,43.85,1,1,26.823
Khammam,2014,28.84,89.75,39.58,0,1,24.619
Khammam,2002,27.38,59.1,160.22,1,1,5.634
Karimnagar,2023,28.58,51.97,136.72,0,1,14.353
Aurangabad,1997,32.54,41.73,434.35,0,1,8.721
Kolkata,2010,37.35,68.39,44.77,1,1,21.59
Thanjavur,2023,26.27,36.2,297.25,0,1,6.114
Kolhapur,1993,28.22,77.16,20.47,1,1,24.654
Jodhpur,2014,22.75,60.47,136.07,0,1,5.635
Udaipur,2004,28.09,57.02,112.64,0,1,6.643
Bengaluru,1993,31.12,69.19,296.19,0,1,8.286
Nizamabad,2001,16.92,54.97,198.52,1,1,9.174
Karimnagar,2021,24.33,58.11,461.71,0,1,14.804
Jalpaiguri,2021,25.86,55.92,0.0,1,1,11.872
Madurai,2017,23.31,91.02,100.67,1,1,26.782
