DISTRICT,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL RAINFALL,AVG_TEMP,HUMIDITY,ELEVATION,FLOOD_RISK_INDEX,FLOODS
Gaya,2021,14.118,17.004,37.359,54.49,131.846,410.939,499.888,302.334,172.065,88.252,44.332,13.799,1709.172,27.73,88.3,35.22,0.607,NO
Vadodara,2022,30.264,31.0,68.713,94.773,244.775,607.592,650.078,634.971,399.011,152.419,100.776,28.975,2933.653,35.66,90.51,9.23,0.845,YES
Hubballi,1992,5.636,5.251,13.232,17.382,33.233,126.688,123.812,107.033,67.135,28.191,16.809,4.739,534.433,33.36,51.94,296.1,0.192,YES
Udaipur,1998,5.168,5.471,10.913,12.861,32.237,88.273,127.398,83.275,52.501,23.003,12.129,4.915,492.845,34.41,58.16,316.26,0.21,NO
Guwahati,1997,8.353,11.095,20.323,29.764,70.659,210.355,280.225,239.507,139.854,64.716,33.889,10.73,1058.164,23.7,67.45,355.24,0.35,NO
Chennai,2022,36.172,36.298,79.895,102.349,271.407,756.66,878.618,678.401,569.692,163.054,112.943,42.539,3790.453,25.46,84.02,51.44,0.967,YES
Varanasi,1995,29.983,27.128,50.163,86.538,146.72,579.202,714.389,630.474,302.647,137.776,89.162,29.062,2847.638,31.86,84.6,48.94,0.797,NO
Gorakhpur,1993,6.395,6.908,16.841,22.734,43.101,160.776,155.128,143.192,93.629,41.414,16.979,7.912,738.64,27.83,49.32,134.26,0.24,NO
Bikaner,2002,2.693,2.341,5.004,5.207,12.587,55.086,58.645,47.872,30.451,11.944,7.097,2.577,247.944,30.77,32.2,0.0,0.09,NO
Bikaner,1991,5.597,7.345,12.861,17.76,40.819,132.198,159.504,111.248,74.228,30.246,22.237,6.668,658.18,31.67,55.13,365.68,0.22,NO
Bareilly,1994,23.796,19.108,39.939,64.09,152.676,441.025,468.555,376.001,238.047,118.071,55.53,19.484,2056.829,25.17,77.45,1004.97,0.49,YES
Anand,2016,12.272,12.211,24.146,34.59,71.536,212.951,318.152,246.45,118.929,62.161,38.804,11.499,1143.765,23.06,61.59,423.24,0.33,YES
Tiruchirappalli,2021,16.225,17.135,28.957,57.56,122.252,327.536,387.692,326.626,157.6,94.007,51.954,17.84,1556.136,20.48,71.2,859.14,0.389,NO
Nashik,2010,5.562,5.345,10.342,17.988,36.825,108.821,146.198,103.587,73.485,27.675,14.126,5.173,554.493,27.27,41.42,164.83,0.166,NO
